Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
15,55,0,,0,125.0,"(140, 55, 0)"
15,55,1,,0,125.0,"(140, 55, 1)"
15,55,2,,0,125.0,"(140, 55, 2)"
15,55,3,,0,125.00399993600205,"(140, 55, 2)"
15,55,4,,0,125.01599897613104,"(140, 55, 2)"
15,55,5,,0,125.03599481749245,"(140, 55, 2)"
15,55,6,,0,125.06398362438324,"(140, 55, 2)"
15,55,7,,0,125.09996003196804,"(140, 55, 2)"
15,55,8,,0,125.14391715141412,"(140, 55, 2)"
15,55,9,,0,125.19584657647394,"(140, 55, 2)"
15,55,10,,0,125.25573839150046,"(140, 55, 2)"
15,55,11,,0,125.32358118087753,"(140, 55, 2)"
15,55,12,,0,125.39936203984452,"(140, 55, 2)"
15,55,13,,0,125.4830665866913,"(140, 55, 2)"
15,60,0,,0,125.0,"(15, 185, 0)"
15,60,1,,0,125.0,"(15, 185, 1)"
15,60,2,,0,125.0,"(15, 185, 2)"
15,60,3,,0,125.0,"(15, 185, 3)"
15,60,4,,0,125.0,"(15, 185, 4)"
15,60,5,,0,125.0,"(15, 185, 5)"
15,60,6,,0,125.0,"(15, 185, 6)"
15,60,7,,0,125.0,"(15, 185, 7)"
15,60,8,,0,125.0,"(15, 185, 8)"
15,60,9,,0,125.0,"(15, 185, 9)"
15,60,10,,0,125.0,"(15, 185, 10)"
15,60,11,,0,125.0,"(15, 185, 11)"
15,60,12,,0,125.0,"(15, 185, 12)"
15,60,13,,0,125.0,"(15, 185, 13)"
15,65,0,,0,120.0,"(15, 185, 0)"
15,65,1,,0,120.0,"(15, 185, 1)"
15,65,2,,0,120.0,"(15, 185, 2)"
15,65,3,,0,120.0,"(15, 185, 3)"
15,65,4,,0,120.0,"(15, 185, 4)"
15,65,5,,0,120.0,"(15, 185, 5)"
15,65,6,,0,120.0,"(15, 185, 6)"
15,65,7,,0,120.0,"(15, 185, 7)"
15,65,8,,0,120.0,"(15, 185, 8)"
15,65,9,,0,120.0,"(15, 185, 9)"
15,65,10,,0,120.0,"(15, 185, 10)"
15,65,11,,0,120.0,"(15, 185, 11)"
15,65,12,,0,120.0,"(15, 185, 12)"
15,65,13,,0,120.0,"(15, 185, 13)"
15,70,0,,0,115.0,"(15, 185, 0)"
15,70,1,,0,115.0,"(15, 185, 1)"
15,70,2,,0,115.0,"(15, 185, 2)"
15,70,3,,0,115.0,"(15, 185, 3)"
15,70,4,,0,115.0,"(15, 185, 4)"
