X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,0,0,0.20958333333333268,13.953485526315797,0.582355354944604,0.004267542059909724,0.000492408699220353,0.010915059499384488,0.0,,,,,,,,,0,30.0,"(30, 0, 0)"
0,0,1,0.1970146520146512,13.137786996337002,0.5823553549446037,0.004267542059909726,0.0004924086992203531,0.010915059499384485,0.0,,,,,,,,,0,30.0,"(30, 0, 1)"
0,0,2,0.17472392638036727,12.434916257668716,0.5823553549446034,0.004267542059909727,0.0004924086992203524,0.010915059499384499,0.0,,,,,,,,,0,30.0,"(30, 0, 2)"
0,0,3,0.16200542005419966,11.807936585365857,0.5370053149459448,0.004498058741983272,0.0005299301896050884,0.010529285159088552,8.335010312636947e-06,,,,,,,,,0,30.01666203960727,"(30, 0, 2)"
0,0,4,0.14514563106796027,11.399503519417479,0.47031327388041066,0.004572123478709448,0.0005623078754248788,0.009658565181849784,2.167178371643839e-05,,,,,,,,,0,30.066592756745816,"(30, 0, 2)"
0,0,5,0.1306750572082371,10.975719565217393,0.4252974345358609,0.004462990713110838,0.0005655825563808079,0.009002863061482857,2.7713570472015276e-05,,,,,,,,,0,30.14962686336267,"(30, 0, 2)"
0,0,6,0.11344226579520607,10.6742417211329,0.37282372098715155,0.004399949444457053,0.0005701652979779586,0.008263726207194854,3.549835805561079e-05,,,,,,,,,0,30.265491900843113,"(30, 0, 2)"
0,0,7,0.09757543103448191,10.255900862068966,0.3441769480975264,0.004352184359302097,0.0005773071395796837,0.007884532549694909,3.912398313639821e-05,,,,,,,,,0,30.4138126514911,"(30, 0, 2)"
0,0,8,0.08101511879049629,9.965124406047517,0.31366236827972444,0.0042841857833165456,0.00058152483044654,0.0074425451683338695,4.3017137608654904e-05,,,,,,,,,0,30.59411708155671,"(30, 0, 2)"
0,0,9,0.07114699331848653,9.604897104677066,0.2925467036411727,0.004299627887983597,0.0005851136639094045,0.007157710016765646,4.5579625677447845e-05,,,,,,,,,0,30.805843601498726,"(30, 0, 2)"
0,0,10,0.06039627039627138,9.306879487179486,0.2741831755511174,0.004322608543266906,0.0005928203906331724,0.006931678285184687,4.834341660576411e-05,,,,,,,,,0,31.04834939252005,"(30, 0, 2)"
0,0,11,0.051972361809045964,8.918176884422104,0.2656997730885024,0.004387388673781593,0.0006034431429878085,0.006868514919291155,4.986840100481069e-05,,,,,,,,,0,31.32091952673165,"(30, 0, 2)"
0,0,12,0.03918449197860942,8.703138502673795,0.2514352769221695,0.004374530760638296,0.0006159276326881672,0.00666494013145535,5.2806482236651045e-05,,,,,,,,,0,31.622776601683793,"(30, 0, 2)"
0,0,13,0.034460641399416736,8.45945597667638,0.24426389730111714,0.004345761590749053,0.0006117472060225858,0.00656465212467679,5.17959398399107e-05,,,,,,,,,0,31.953090617340916,"(30, 0, 2)"
0,15,0,0.2865157480314968,13.835624409448824,0.5823553549446034,0.004267542059909727,0.0004924086992203528,0.010915059499384485,0.0,,,,,,,,,0,33.54101966249684,"(30, 0, 0)"
0,15,1,0.259223300970875,12.985857119741105,0.5823553549446034,0.004267542059909727,0.0004924086992203524,0.010915059499384499,0.0,,,,,,,,,0,33.54101966249684,"(30, 0, 1)"
0,15,2,0.24125348189415183,12.163614206128138,0.5594792948553486,0.004505017413458996,0.000509765721852251,0.010770243336013983,5.313052328115274e-06,,,,,,,,,0,33.54101966249684,"(30, 0, 2)"
0,15,3,0.21130071599045605,11.605220286396184,0.4881138197829319,0.004592431822402986,0.0005322172803511072,0.009856296967891073,1.5633808778220927e-05,,,,,,,,,0,33.555923471125034,"(30, 0, 2)"
0,15,4,0.18849344978166194,11.05384705240175,0.44159567069032507,0.004673028285776476,0.000555290586146742,0.009350312852125762,2.4124999991487885e-05,,,,,,,,,0,33.60059523282288,"(30, 0, 2)"
0,15,5,0.16514198782961653,10.650010649087223,0.3839652225338838,0.004638284672781934,0.0005644119311083654,0.008568881346823532,3.299464426142529e-05,,,,,,,,,0,33.67491648096547,"(30, 0, 2)"
0,15,6,0.14314960629921472,10.231218503937008,0.3500376244613768,0.004643442079660468,0.00057840849218751,0.008145750234397888,3.913395929844891e-05,,,,,,,,,0,33.77869150810907,"(30, 0, 2)"
0,15,7,0.12200191570881136,9.918709003831419,0.31044896550497403,0.004606341934640933,0.0005886709743353136,0.007600398950049627,4.5421117435077116e-05,,,,,,,,,0,33.91164991562634,"(30, 0, 2)"
0,15,8,0.10528431372548935,9.447648823529411,0.29277894158036233,0.0046740606049659825,0.0006090943728562442,0.00739538426888013,4.9818317058967646e-05,,,,,,,,,0,34.07345007480164,"(30, 0, 2)"
0,15,9,0.08387128712871238,9.260736039603962,0.26796155045197245,0.004604983470401113,0.0006131798933210655,0.006997572412425248,5.343383127358664e-05,,,,,,,,,0,34.26368339802363,"(30, 0, 2)"
0,15,10,0.0693710691823905,8.90890628930818,0.2561538283663151,0.004563408443858243,0.000621489511029886,0.006806096638511458,5.506493620746219e-05,,,,,,,,,0,34.48187929913333,"(30, 0, 2)"
0,15,11,0.0568819599109141,8.691776614699327,0.2409798648425987,0.004523089802957935,0.0006248329997677177,0.006579532583612764,5.644000573137939e-05,,,,,,,,,0,34.72751070837067,"(30, 0, 2)"
