X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,0,0,,,,,,,,,,,,,,,,0,25.0,"(25, 0, 0)"
0,0,1,,,,,,,,,,,,,,,,0,25.0,"(25, 0, 1)"
0,0,2,,,,,,,,,,,,,,,,0,25.0,"(25, 0, 2)"
0,0,3,,,,,,,,,,,,,,,,0,25.019992006393608,"(25, 0, 2)"
0,0,4,,,,,,,,,,,,,,,,0,25.079872407968907,"(25, 0, 2)"
0,0,5,,,,,,,,,,,,,,,,0,25.179356624028344,"(25, 0, 2)"
0,0,6,,,,,,,,,,,,,,,,0,25.317977802344327,"(25, 0, 2)"
0,0,7,,,,,,,,,,,,,,,,0,25.495097567963924,"(25, 0, 2)"
0,0,8,,,,,,,,,,,,,,,,0,25.709920264364882,"(25, 0, 2)"
0,0,9,,,,,,,,,,,,,,,,0,25.96150997149434,"(25, 0, 2)"
0,0,10,,,,,,,,,,,,,,,,0,26.248809496813376,"(25, 0, 2)"
0,0,11,,,,,,,,,,,,,,,,0,26.570660511172846,"(25, 0, 2)"
0,0,12,,,,,,,,,,,,,,,,0,26.92582403567252,"(25, 0, 2)"
0,0,13,,,,,,,,,,,,,,,,0,27.313000567495326,"(25, 0, 2)"
0,5,0,,,,,,,,,,,,,,,,0,25.495097567963924,"(25, 0, 0)"
0,5,1,,,,,,,,,,,,,,,,0,25.495097567963924,"(25, 0, 1)"
0,5,2,,,,,,,,,,,,,,,,0,25.495097567963924,"(25, 0, 2)"
0,5,3,,,,,,,,,,,,,,,,0,25.514701644346147,"(25, 0, 2)"
0,5,4,,,,,,,,,,,,,,,,0,25.573423705088842,"(25, 0, 2)"
0,5,5,,,,,,,,,,,,,,,,0,25.67099530598687,"(25, 0, 2)"
0,5,6,,,,,,,,,,,,,,,,0,25.80697580112788,"(25, 0, 2)"
0,5,7,,,,,,,,,,,,,,,,0,25.98076211353316,"(25, 0, 2)"
0,5,8,,,,,,,,,,,,,,,,0,26.19160170741759,"(25, 0, 2)"
0,5,9,,,,,,,,,,,,,,,,0,26.43860813280457,"(25, 0, 2)"
0,5,10,,,,,,,,,,,,,,,,0,26.720778431774775,"(25, 0, 2)"
0,5,11,,,,,,,,,,,,,,,,0,27.03701166919155,"(25, 0, 2)"
0,5,12,,,,,,,,,,,,,,,,0,27.386127875258307,"(25, 0, 2)"
0,5,13,,,,,,,,,,,,,,,,0,27.76688675382964,"(25, 0, 2)"
0,10,0,,,,,,,,,,,,,,,,0,26.92582403567252,"(25, 0, 0)"
0,10,1,,,,,,,,,,,,,,,,0,26.92582403567252,"(25, 0, 1)"
0,10,2,,,,,,,,,,,,,,,,0,26.92582403567252,"(25, 0, 2)"
0,10,3,,,,,,,,,,,,,,,,0,26.94438717061496,"(25, 0, 2)"
0,10,4,,,,,,,,,,,,,,,,0,27.0,"(25, 0, 2)"
0,10,5,,,,,,,,,,,,,,,,0,27.09243436828813,"(25, 0, 2)"
0,10,6,,,,,,,,,,,,,,,,0,27.2213151776324,"(25, 0, 2)"
