Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
10,120,9,0.7051,0,70.0,"(10, 190, 9)"
10,120,10,0.7051,0,70.0,"(10, 190, 10)"
10,120,11,2.0148,0,70.0,"(10, 190, 11)"
10,120,12,2.0148,0,70.0,"(10, 190, 12)"
10,120,13,2.0148,0,70.0,"(10, 190, 13)"
10,130,0,20.5577,0,60.0,"(10, 190, 0)"
10,130,1,18.7972,0,60.0,"(10, 190, 1)"
10,130,2,14.4674,0,60.0,"(10, 190, 2)"
10,130,3,5.9476,0,60.0,"(10, 190, 3)"
10,130,4,2.7237,0,60.0,"(10, 190, 4)"
10,130,5,2.8808,0,60.0,"(10, 190, 5)"
10,130,6,2.8808,0,60.0,"(10, 190, 6)"
10,130,7,2.8808,0,60.0,"(10, 190, 7)"
10,130,8,0.7051,0,60.0,"(10, 190, 8)"
10,130,9,0.7051,0,60.0,"(10, 190, 9)"
10,130,10,0.7051,0,60.0,"(10, 190, 10)"
10,130,11,2.0148,0,60.0,"(10, 190, 11)"
10,130,12,2.0148,0,60.0,"(10, 190, 12)"
10,130,13,2.0148,0,60.0,"(10, 190, 13)"
10,140,0,20.5577,0,50.0,"(10, 190, 0)"
10,140,1,18.7972,0,50.0,"(10, 190, 1)"
10,140,2,14.4674,0,50.0,"(10, 190, 2)"
10,140,3,5.9476,0,50.0,"(10, 190, 3)"
10,140,4,2.7237,0,50.0,"(10, 190, 4)"
10,140,5,2.8808,0,50.0,"(10, 190, 5)"
10,140,6,2.8808,0,50.0,"(10, 190, 6)"
10,140,7,2.8808,0,50.0,"(10, 190, 7)"
10,140,8,0.7051,0,50.0,"(10, 190, 8)"
10,140,9,0.7051,0,50.0,"(10, 190, 9)"
10,140,10,0.7051,0,50.0,"(10, 190, 10)"
10,140,11,2.0148,0,50.0,"(10, 190, 11)"
10,140,12,2.0148,0,50.0,"(10, 190, 12)"
10,140,13,2.0148,0,50.0,"(10, 190, 13)"
10,150,0,20.5577,0,40.0,"(10, 190, 0)"
10,150,1,18.7972,0,40.0,"(10, 190, 1)"
10,150,2,14.4674,0,40.0,"(10, 190, 2)"
10,150,3,5.9476,0,40.0,"(10, 190, 3)"
10,150,4,2.7237,0,40.0,"(10, 190, 4)"
10,150,5,2.8808,0,40.0,"(10, 190, 5)"
10,150,6,2.8808,0,40.0,"(10, 190, 6)"
10,150,7,2.8808,0,40.0,"(10, 190, 7)"
10,150,8,0.7051,0,40.0,"(10, 190, 8)"
10,150,9,0.7051,0,40.0,"(10, 190, 9)"
10,150,10,0.7051,0,40.0,"(10, 190, 10)"
10,150,11,2.0148,0,40.0,"(10, 190, 11)"
10,150,12,2.0148,0,40.0,"(10, 190, 12)"
10,150,13,2.0148,0,40.0,"(10, 190, 13)"
10,160,0,20.5577,0,30.0,"(10, 190, 0)"
10,160,1,18.7972,0,30.0,"(10, 190, 1)"
10,160,2,14.4674,0,30.0,"(10, 190, 2)"
10,160,3,5.9476,0,30.0,"(10, 190, 3)"
10,160,4,2.7237,0,30.0,"(10, 190, 4)"
10,160,5,2.8808,0,30.0,"(10, 190, 5)"
10,160,6,2.8808,0,30.0,"(10, 190, 6)"
10,160,7,2.8808,0,30.0,"(10, 190, 7)"
10,160,8,0.7051,0,30.0,"(10, 190, 8)"
10,160,9,0.7051,0,30.0,"(10, 190, 9)"
10,160,10,0.7051,0,30.0,"(10, 190, 10)"
10,160,11,2.0148,0,30.0,"(10, 190, 11)"
10,160,12,2.0148,0,30.0,"(10, 190, 12)"
10,160,13,2.0148,0,30.0,"(10, 190, 13)"
10,170,0,20.5577,0,20.0,"(10, 190, 0)"
10,170,1,18.7972,0,20.0,"(10, 190, 1)"
10,170,2,14.4674,0,20.0,"(10, 190, 2)"
10,170,3,5.9476,0,20.0,"(10, 190, 3)"
10,170,4,2.7237,0,20.0,"(10, 190, 4)"
10,170,5,2.8808,0,20.0,"(10, 190, 5)"
10,170,6,2.8808,0,20.0,"(10, 190, 6)"
10,170,7,2.8808,0,20.0,"(10, 190, 7)"
10,170,8,0.7051,0,20.0,"(10, 190, 8)"
10,170,9,0.7051,0,20.0,"(10, 190, 9)"
10,170,10,0.7051,0,20.0,"(10, 190, 10)"
10,170,11,2.0148,0,20.0,"(10, 190, 11)"
10,170,12,2.0148,0,20.0,"(10, 190, 12)"
10,170,13,2.0148,0,20.0,"(10, 190, 13)"
10,180,0,20.5577,0,10.0,"(10, 190, 0)"
10,180,1,18.7972,0,10.0,"(10, 190, 1)"
10,180,2,14.4674,0,10.0,"(10, 190, 2)"
10,180,3,5.9476,0,10.0,"(10, 190, 3)"
10,180,4,2.7237,0,10.0,"(10, 190, 4)"
10,180,5,2.8808,0,10.0,"(10, 190, 5)"
10,180,6,2.8808,0,10.0,"(10, 190, 6)"
10,180,7,2.8808,0,10.0,"(10, 190, 7)"
10,180,8,0.7051,0,10.0,"(10, 190, 8)"
10,180,9,0.7051,0,10.0,"(10, 190, 9)"
10,180,10,0.7051,0,10.0,"(10, 190, 10)"
10,180,11,2.0148,0,10.0,"(10, 190, 11)"
10,180,12,2.0148,0,10.0,"(10, 190, 12)"
10,180,13,2.0148,0,10.0,"(10, 190, 13)"
10,190,0,20.5577,1,0.0,"(10, 190, 0)"
10,190,1,18.7972,1,0.0,"(10, 190, 1)"
10,190,2,14.4674,1,0.0,"(10, 190, 2)"
10,190,3,5.9476,1,0.0,"(10, 190, 3)"
10,190,4,2.7237,1,0.0,"(10, 190, 4)"
10,190,5,2.8808,1,0.0,"(10, 190, 5)"
10,190,6,2.8808,1,0.0,"(10, 190, 6)"
10,190,7,2.8808,1,0.0,"(10, 190, 7)"
10,190,8,0.7051,1,0.0,"(10, 190, 8)"
10,190,9,0.7051,1,0.0,"(10, 190, 9)"
10,190,10,0.7051,1,0.0,"(10, 190, 10)"
10,190,11,2.0148,1,0.0,"(10, 190, 11)"
10,190,12,2.0148,1,0.0,"(10, 190, 12)"
10,190,13,2.0148,1,0.0,"(10, 190, 13)"
20,50,0,21.0565,0,120.0,"(140, 50, 0)"
20,50,1,14.4136,0,120.0,"(140, 50, 1)"
20,50,2,15.9546,0,120.0,"(140, 50, 2)"
20,50,3,15.9546,0,120.00416659433121,"(140, 50, 2)"
20,50,4,15.9546,0,120.01666550941998,"(140, 50, 2)"
20,50,5,15.9546,0,120.03749414245534,"(140, 50, 2)"
20,50,6,15.9546,0,120.06664815842908,"(140, 50, 2)"
20,50,7,15.9546,0,120.10412149464314,"(140, 50, 2)"
20,50,8,15.9546,0,120.14990636700472,"(140, 50, 2)"
20,50,9,15.9546,0,120.20399327809372,"(140, 50, 2)"
20,50,10,15.9546,0,120.26637102698326,"(140, 50, 2)"
20,50,11,15.9546,0,120.33702672078948,"(140, 50, 2)"
20,50,12,15.9546,0,120.41594578792295,"(140, 50, 2)"
20,50,13,15.9546,0,120.50311199301038,"(140, 50, 2)"
20,60,0,21.0565,0,120.41594578792295,"(140, 50, 0)"
20,60,1,14.4136,0,120.41594578792295,"(140, 50, 1)"
20,60,2,15.9546,0,120.41594578792295,"(140, 50, 2)"
20,60,3,15.9546,0,120.42009799032718,"(140, 50, 2)"
20,60,4,15.9546,0,120.43255373859678,"(140, 50, 2)"
20,60,5,15.9546,0,120.45331045679069,"(140, 50, 2)"
20,60,6,15.9546,0,120.48236385463227,"(140, 50, 2)"
20,60,7,15.9546,0,120.5197079319395,"(140, 50, 2)"
20,60,8,15.9546,0,120.56533498481228,"(140, 50, 2)"
20,60,9,15.9546,0,120.61923561356207,"(140, 50, 2)"
20,60,10,15.9546,0,120.68139873236471,"(140, 50, 2)"
20,60,11,15.9546,0,120.75181158061356,"(140, 50, 2)"
20,60,12,15.9546,0,120.83045973594572,"(140, 50, 2)"
20,60,13,15.9546,0,120.91732712891069,"(140, 50, 2)"
20,70,0,20.5577,0,120.41594578792295,"(10, 190, 0)"
20,70,1,18.7972,0,120.41594578792295,"(10, 190, 1)"
20,70,2,14.4674,0,120.41594578792295,"(10, 190, 2)"
20,70,3,5.9476,0,120.41594578792295,"(10, 190, 3)"
20,70,4,2.7237,0,120.41594578792295,"(10, 190, 4)"
20,70,5,2.8808,0,120.41594578792295,"(10, 190, 5)"
20,70,6,2.8808,0,120.41594578792295,"(10, 190, 6)"
20,70,7,2.8808,0,120.41594578792295,"(10, 190, 7)"
20,70,8,0.7051,0,120.41594578792295,"(10, 190, 8)"
20,70,9,0.7051,0,120.41594578792295,"(10, 190, 9)"
20,70,10,0.7051,0,120.41594578792295,"(10, 190, 10)"
20,70,11,2.0148,0,120.41594578792295,"(10, 190, 11)"
20,70,12,2.0148,0,120.41594578792295,"(10, 190, 12)"
20,70,13,2.0148,0,120.41594578792295,"(10, 190, 13)"
20,80,0,20.5577,0,110.45361017187261,"(10, 190, 0)"
20,80,1,18.7972,0,110.45361017187261,"(10, 190, 1)"
20,80,2,14.4674,0,110.45361017187261,"(10, 190, 2)"
20,80,3,5.9476,0,110.45361017187261,"(10, 190, 3)"
20,80,4,2.7237,0,110.45361017187261,"(10, 190, 4)"
20,80,5,2.8808,0,110.45361017187261,"(10, 190, 5)"
20,80,6,2.8808,0,110.45361017187261,"(10, 190, 6)"
20,80,7,2.8808,0,110.45361017187261,"(10, 190, 7)"
20,80,8,0.7051,0,110.45361017187261,"(10, 190, 8)"
20,80,9,0.7051,0,110.45361017187261,"(10, 190, 9)"
20,80,10,0.7051,0,110.45361017187261,"(10, 190, 10)"
20,80,11,2.0148,0,110.45361017187261,"(10, 190, 11)"
20,80,12,2.0148,0,110.45361017187261,"(10, 190, 12)"
20,80,13,2.0148,0,110.45361017187261,"(10, 190, 13)"
20,90,0,20.5577,0,100.4987562112089,"(10, 190, 0)"
20,90,1,18.7972,0,100.4987562112089,"(10, 190, 1)"
20,90,2,14.4674,0,100.4987562112089,"(10, 190, 2)"
20,90,3,5.9476,0,100.4987562112089,"(10, 190, 3)"
20,90,4,2.7237,0,100.4987562112089,"(10, 190, 4)"
20,90,5,2.8808,0,100.4987562112089,"(10, 190, 5)"
20,90,6,2.8808,0,100.4987562112089,"(10, 190, 6)"
20,90,7,2.8808,0,100.4987562112089,"(10, 190, 7)"
20,90,8,0.7051,0,100.4987562112089,"(10, 190, 8)"
20,90,9,0.7051,0,100.4987562112089,"(10, 190, 9)"
20,90,10,0.7051,0,100.4987562112089,"(10, 190, 10)"
20,90,11,2.0148,0,100.4987562112089,"(10, 190, 11)"
20,90,12,2.0148,0,100.4987562112089,"(10, 190, 12)"
20,90,13,2.0148,0,100.4987562112089,"(10, 190, 13)"
20,100,0,20.5577,0,90.55385138137417,"(10, 190, 0)"
20,100,1,18.7972,0,90.55385138137417,"(10, 190, 1)"
20,100,2,14.4674,0,90.55385138137417,"(10, 190, 2)"
20,100,3,5.9476,0,90.55385138137417,"(10, 190, 3)"
20,100,4,2.7237,0,90.55385138137417,"(10, 190, 4)"
20,100,5,2.8808,0,90.55385138137417,"(10, 190, 5)"
20,100,6,2.8808,0,90.55385138137417,"(10, 190, 6)"
20,100,7,2.8808,0,90.55385138137417,"(10, 190, 7)"
20,100,8,0.7051,0,90.55385138137417,"(10, 190, 8)"
20,100,9,0.7051,0,90.55385138137417,"(10, 190, 9)"
20,100,10,0.7051,0,90.55385138137417,"(10, 190, 10)"
20,100,11,2.0148,0,90.55385138137417,"(10, 190, 11)"
20,100,12,2.0148,0,90.55385138137417,"(10, 190, 12)"
20,100,13,2.0148,0,90.55385138137417,"(10, 190, 13)"
20,110,0,20.5577,0,80.62257748298549,"(10, 190, 0)"
20,110,1,18.7972,0,80.62257748298549,"(10, 190, 1)"
20,110,2,14.4674,0,80.62257748298549,"(10, 190, 2)"
20,110,3,5.9476,0,80.62257748298549,"(10, 190, 3)"
20,110,4,2.7237,0,80.62257748298549,"(10, 190, 4)"
20,110,5,2.8808,0,80.62257748298549,"(10, 190, 5)"
20,110,6,2.8808,0,80.62257748298549,"(10, 190, 6)"
20,110,7,2.8808,0,80.62257748298549,"(10, 190, 7)"
20,110,8,0.7051,0,80.62257748298549,"(10, 190, 8)"
20,110,9,0.7051,0,80.62257748298549,"(10, 190, 9)"
20,110,10,0.7051,0,80.62257748298549,"(10, 190, 10)"
20,110,11,2.0148,0,80.62257748298549,"(10, 190, 11)"
20,110,12,2.0148,0,80.62257748298549,"(10, 190, 12)"
20,110,13,2.0148,0,80.62257748298549,"(10, 190, 13)"
20,120,0,20.5577,0,70.71067811865476,"(10, 190, 0)"
20,120,1,18.7972,0,70.71067811865476,"(10, 190, 1)"
20,120,2,14.4674,0,70.71067811865476,"(10, 190, 2)"
20,120,3,5.9476,0,70.71067811865476,"(10, 190, 3)"
20,120,4,2.7237,0,70.71067811865476,"(10, 190, 4)"
20,120,5,2.8808,0,70.71067811865476,"(10, 190, 5)"
20,120,6,2.8808,0,70.71067811865476,"(10, 190, 6)"
20,120,7,2.8808,0,70.71067811865476,"(10, 190, 7)"
20,120,8,0.7051,0,70.71067811865476,"(10, 190, 8)"
20,120,9,0.7051,0,70.71067811865476,"(10, 190, 9)"
20,120,10,0.7051,0,70.71067811865476,"(10, 190, 10)"
20,120,11,2.0148,0,70.71067811865476,"(10, 190, 11)"
20,120,12,2.0148,0,70.71067811865476,"(10, 190, 12)"
20,120,13,2.0148,0,70.71067811865476,"(10, 190, 13)"
20,130,0,20.5577,0,60.8276253029822,"(10, 190, 0)"
20,130,1,18.7972,0,60.8276253029822,"(10, 190, 1)"
20,130,2,14.4674,0,60.8276253029822,"(10, 190, 2)"
20,130,3,5.9476,0,60.8276253029822,"(10, 190, 3)"
20,130,4,2.7237,0,60.8276253029822,"(10, 190, 4)"
20,130,5,2.8808,0,60.8276253029822,"(10, 190, 5)"
20,130,6,2.8808,0,60.8276253029822,"(10, 190, 6)"
20,130,7,2.8808,0,60.8276253029822,"(10, 190, 7)"
20,130,8,0.7051,0,60.8276253029822,"(10, 190, 8)"
20,130,9,0.7051,0,60.8276253029822,"(10, 190, 9)"
20,130,10,0.7051,0,60.8276253029822,"(10, 190, 10)"
20,130,11,2.0148,0,60.8276253029822,"(10, 190, 11)"
20,130,12,2.0148,0,60.8276253029822,"(10, 190, 12)"
20,130,13,2.0148,0,60.8276253029822,"(10, 190, 13)"
20,140,0,20.5577,0,50.99019513592785,"(10, 190, 0)"
20,140,1,18.7972,0,50.99019513592785,"(10, 190, 1)"
20,140,2,14.4674,0,50.99019513592785,"(10, 190, 2)"
20,140,3,5.9476,0,50.99019513592785,"(10, 190, 3)"
20,140,4,2.7237,0,50.99019513592785,"(10, 190, 4)"
20,140,5,2.8808,0,50.99019513592785,"(10, 190, 5)"
20,140,6,2.8808,0,50.99019513592785,"(10, 190, 6)"
20,140,7,2.8808,0,50.99019513592785,"(10, 190, 7)"
20,140,8,0.7051,0,50.99019513592785,"(10, 190, 8)"
20,140,9,0.7051,0,50.99019513592785,"(10, 190, 9)"
20,140,10,0.7051,0,50.99019513592785,"(10, 190, 10)"
20,140,11,2.0148,0,50.99019513592785,"(10, 190, 11)"
20,140,12,2.0148,0,50.99019513592785,"(10, 190, 12)"
20,140,13,2.0148,0,50.99019513592785,"(10, 190, 13)"
20,150,0,20.5577,0,41.23105625617661,"(10, 190, 0)"
20,150,1,18.7972,0,41.23105625617661,"(10, 190, 1)"
20,150,2,14.4674,0,41.23105625617661,"(10, 190, 2)"
20,150,3,5.9476,0,41.23105625617661,"(10, 190, 3)"
20,150,4,2.7237,0,41.23105625617661,"(10, 190, 4)"
20,150,5,2.8808,0,41.23105625617661,"(10, 190, 5)"
20,150,6,2.8808,0,41.23105625617661,"(10, 190, 6)"
20,150,7,2.8808,0,41.23105625617661,"(10, 190, 7)"
20,150,8,0.7051,0,41.23105625617661,"(10, 190, 8)"
20,150,9,0.7051,0,41.23105625617661,"(10, 190, 9)"
20,150,10,0.7051,0,41.23105625617661,"(10, 190, 10)"
20,150,11,2.0148,0,41.23105625617661,"(10, 190, 11)"
20,150,12,2.0148,0,41.23105625617661,"(10, 190, 12)"
20,150,13,2.0148,0,41.23105625617661,"(10, 190, 13)"
20,160,0,20.5577,0,31.622776601683793,"(10, 190, 0)"
20,160,1,18.7972,0,31.622776601683793,"(10, 190, 1)"
20,160,2,14.4674,0,31.622776601683793,"(10, 190, 2)"
20,160,3,5.9476,0,31.622776601683793,"(10, 190, 3)"
20,160,4,2.7237,0,31.622776601683793,"(10, 190, 4)"
20,160,5,2.8808,0,31.622776601683793,"(10, 190, 5)"
20,160,6,2.8808,0,31.622776601683793,"(10, 190, 6)"
20,160,7,2.8808,0,31.622776601683793,"(10, 190, 7)"
20,160,8,0.7051,0,31.622776601683793,"(10, 190, 8)"
20,160,9,0.7051,0,31.622776601683793,"(10, 190, 9)"
20,160,10,0.7051,0,31.622776601683793,"(10, 190, 10)"
20,160,11,2.0148,0,31.622776601683793,"(10, 190, 11)"
20,160,12,2.0148,0,31.622776601683793,"(10, 190, 12)"
20,160,13,2.0148,0,31.622776601683793,"(10, 190, 13)"
20,170,0,20.5577,0,22.360679774997898,"(10, 190, 0)"
20,170,1,18.7972,0,22.360679774997898,"(10, 190, 1)"
20,170,2,14.4674,0,22.360679774997898,"(10, 190, 2)"
20,170,3,5.9476,0,22.360679774997898,"(10, 190, 3)"
20,170,4,2.7237,0,22.360679774997898,"(10, 190, 4)"
20,170,5,2.8808,0,22.360679774997898,"(10, 190, 5)"
20,170,6,2.8808,0,22.360679774997898,"(10, 190, 6)"
20,170,7,2.8808,0,22.360679774997898,"(10, 190, 7)"
20,170,8,0.7051,0,22.360679774997898,"(10, 190, 8)"
20,170,9,0.7051,0,22.360679774997898,"(10, 190, 9)"
20,170,10,0.7051,0,22.360679774997898,"(10, 190, 10)"
20,170,11,2.0148,0,22.360679774997898,"(10, 190, 11)"
20,170,12,2.0148,0,22.360679774997898,"(10, 190, 12)"
20,170,13,2.0148,0,22.360679774997898,"(10, 190, 13)"
20,180,0,20.5577,0,14.142135623730951,"(10, 190, 0)"
20,180,1,18.7972,0,14.142135623730951,"(10, 190, 1)"
20,180,2,14.4674,0,14.142135623730951,"(10, 190, 2)"
20,180,3,5.9476,0,14.142135623730951,"(10, 190, 3)"
20,180,4,2.7237,0,14.142135623730951,"(10, 190, 4)"
20,180,5,2.8808,0,14.142135623730951,"(10, 190, 5)"
20,180,6,2.8808,0,14.142135623730951,"(10, 190, 6)"
20,180,7,2.8808,0,14.142135623730951,"(10, 190, 7)"
20,180,8,0.7051,0,14.142135623730951,"(10, 190, 8)"
20,180,9,0.7051,0,14.142135623730951,"(10, 190, 9)"
20,180,10,0.7051,0,14.142135623730951,"(10, 190, 10)"
20,180,11,2.0148,0,14.142135623730951,"(10, 190, 11)"
20,180,12,2.0148,0,14.142135623730951,"(10, 190, 12)"
20,180,13,2.0148,0,14.142135623730951,"(10, 190, 13)"
20,190,0,20.5577,0,10.0,"(10, 190, 0)"
20,190,1,18.7972,0,10.0,"(10, 190, 1)"
20,190,2,14.4674,0,10.0,"(10, 190, 2)"
20,190,3,5.9476,0,10.0,"(10, 190, 3)"
20,190,4,2.7237,0,10.0,"(10, 190, 4)"
20,190,5,2.8808,0,10.0,"(10, 190, 5)"
20,190,6,2.8808,0,10.0,"(10, 190, 6)"
20,190,7,2.8808,0,10.0,"(10, 190, 7)"
20,190,8,0.7051,0,10.0,"(10, 190, 8)"
20,190,9,0.7051,0,10.0,"(10, 190, 9)"
20,190,10,0.7051,0,10.0,"(10, 190, 10)"
20,190,11,2.0148,0,10.0,"(10, 190, 11)"
20,190,12,2.0148,0,10.0,"(10, 190, 12)"
20,190,13,2.0148,0,10.0,"(10, 190, 13)"
30,50,0,21.0565,0,110.0,"(140, 50, 0)"
30,50,1,14.4136,0,110.0,"(140, 50, 1)"
30,50,2,15.9546,0,110.0,"(140, 50, 2)"
30,50,3,15.9546,0,110.00454536063498,"(140, 50, 2)"
30,50,4,15.9546,0,110.01818031580054,"(140, 50, 2)"
30,50,5,15.9546,0,110.04090148667449,"(140, 50, 2)"
30,50,6,15.9546,0,110.07270324653611,"(140, 50, 2)"
30,50,7,15.9546,0,110.11357772772621,"(140, 50, 2)"
30,50,8,15.9546,0,110.16351483136329,"(140, 50, 2)"
30,50,9,15.9546,0,110.22250223978767,"(140, 50, 2)"
30,50,10,15.9546,0,110.2905254316979,"(140, 50, 2)"
30,50,11,15.9546,0,110.3675676999362,"(140, 50, 2)"
30,50,12,15.9546,0,110.45361017187261,"(140, 50, 2)"
30,50,13,15.9546,0,110.54863183232979,"(140, 50, 2)"
30,60,0,21.0565,0,110.45361017187261,"(140, 50, 0)"
30,60,1,14.4136,0,110.45361017187261,"(140, 50, 1)"
30,60,2,15.9546,0,110.45361017187261,"(140, 50, 2)"
30,60,3,15.9546,0,110.4581368664165,"(140, 50, 2)"
30,60,4,15.9546,0,110.47171583713181,"(140, 50, 2)"
30,60,5,15.9546,0,110.4943437466371,"(140, 50, 2)"
30,60,6,15.9546,0,110.52601503718479,"(140, 50, 2)"
30,60,7,15.9546,0,110.56672193747991,"(140, 50, 2)"
30,60,8,15.9546,0,110.61645447219867,"(140, 50, 2)"
30,60,9,15.9546,0,110.6752004741803,"(140, 50, 2)"
30,60,10,15.9546,0,110.74294559925703,"(140, 50, 2)"
30,60,11,15.9546,0,110.81967334368028,"(140, 50, 2)"
30,60,12,15.9546,0,110.90536506409417,"(140, 50, 2)"
