Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
15,60,0,13.186665957446815,0,120.0,"(15, 180, 0)"
15,60,1,12.128413793103453,0,120.0,"(15, 180, 1)"
15,60,2,10.875630303030306,0,120.0,"(15, 180, 2)"
15,60,3,10.46110953757226,0,120.0,"(15, 180, 3)"
15,60,4,9.102671204188484,0,120.0,"(15, 180, 4)"
15,60,5,8.301221846846845,0,120.0,"(15, 180, 5)"
15,60,6,6.957062708333329,0,120.0,"(15, 180, 6)"
15,60,7,6.546780075187969,0,120.0,"(15, 180, 7)"
15,60,8,5.924969999999999,0,120.0,"(15, 180, 8)"
15,60,9,5.643025746268657,0,120.0,"(15, 180, 9)"
15,60,10,4.639081707317079,0,120.0,"(15, 180, 10)"
15,60,11,5.111148559670786,0,120.0,"(15, 180, 11)"
15,60,12,4.677880275229365,0,120.0,"(15, 180, 12)"
15,60,13,4.573161111111115,0,120.0,"(15, 180, 13)"
15,75,0,13.704252892561987,0,105.0,"(15, 180, 0)"
15,75,1,12.495185810810815,0,105.0,"(15, 180, 1)"
15,75,2,11.477501098901099,0,105.0,"(15, 180, 2)"
15,75,3,10.132582682926827,0,105.0,"(15, 180, 3)"
15,75,4,9.070605907172993,0,105.0,"(15, 180, 4)"
15,75,5,7.880330871212117,0,105.0,"(15, 180, 5)"
15,75,6,6.911874237288127,0,105.0,"(15, 180, 6)"
15,75,7,6.016815335463253,0,105.0,"(15, 180, 7)"
15,75,8,5.561204725609753,0,105.0,"(15, 180, 8)"
15,75,9,5.055219907407407,0,105.0,"(15, 180, 9)"
15,75,10,4.949191930379745,0,105.0,"(15, 180, 10)"
15,75,11,4.598632718120808,0,105.0,"(15, 180, 11)"
15,75,12,4.430242777777781,0,105.0,"(15, 180, 12)"
15,75,13,4.122374576271192,0,105.0,"(15, 180, 13)"
15,90,0,13.292576422764231,0,90.0,"(15, 180, 0)"
15,90,1,12.210400000000003,0,90.0,"(15, 180, 1)"
15,90,2,11.064594444444444,0,90.0,"(15, 180, 2)"
15,90,3,10.230385483870963,0,90.0,"(15, 180, 3)"
15,90,4,8.974968442622943,0,90.0,"(15, 180, 4)"
15,90,5,7.884438309352509,0,90.0,"(15, 180, 5)"
15,90,6,6.6136950657894635,0,90.0,"(15, 180, 6)"
15,90,7,5.929746212121207,0,90.0,"(15, 180, 7)"
15,90,8,5.288816666666664,0,90.0,"(15, 180, 8)"
15,90,9,5.011023830409352,0,90.0,"(15, 180, 9)"
15,90,10,4.581625613496933,0,90.0,"(15, 180, 10)"
15,90,11,4.540467156862748,0,90.0,"(15, 180, 11)"
15,90,12,4.24564148550725,0,90.0,"(15, 180, 12)"
15,90,13,4.076445731707323,0,90.0,"(15, 180, 13)"
15,105,0,13.862623571428573,0,75.0,"(15, 180, 0)"
15,105,1,12.494274712643675,0,75.0,"(15, 180, 1)"
15,105,2,11.263760952380945,0,75.0,"(15, 180, 2)"
15,105,3,9.927978305785114,0,75.0,"(15, 180, 3)"
15,105,4,8.609641605839405,0,75.0,"(15, 180, 4)"
15,105,5,7.2319156765676444,0,75.0,"(15, 180, 5)"
15,105,6,6.120526567164167,0,75.0,"(15, 180, 6)"
15,105,7,5.336871249999991,0,75.0,"(15, 180, 7)"
15,105,8,4.877532717678094,0,75.0,"(15, 180, 8)"
15,105,9,4.464496587926503,0,75.0,"(15, 180, 9)"
15,105,10,4.141363806970504,0,75.0,"(15, 180, 10)"
15,105,11,3.963367045454547,0,75.0,"(15, 180, 11)"
15,105,12,3.8517003164556995,0,75.0,"(15, 180, 12)"
15,105,13,3.6622658759124156,0,75.0,"(15, 180, 13)"
15,120,0,13.798293700787399,0,60.0,"(15, 180, 0)"
15,120,1,12.454786956521737,0,60.0,"(15, 180, 1)"
15,120,2,11.080399473684205,0,60.0,"(15, 180, 2)"
15,120,3,9.89642347826086,0,60.0,"(15, 180, 3)"
15,120,4,8.296328853754927,0,60.0,"(15, 180, 4)"
15,120,5,7.047555769230757,0,60.0,"(15, 180, 5)"
15,120,6,5.507199672131135,0,60.0,"(15, 180, 6)"
15,120,7,5.0551873219373125,0,60.0,"(15, 180, 7)"
15,120,8,4.3822606060606,0,60.0,"(15, 180, 8)"
15,120,9,4.2149600536193,0,60.0,"(15, 180, 9)"
15,120,10,3.6399498599439815,0,60.0,"(15, 180, 10)"
15,120,11,3.7584171014492753,0,60.0,"(15, 180, 11)"
15,120,12,3.4518380327868905,0,60.0,"(15, 180, 12)"
15,120,13,3.406327528089892,0,60.0,"(15, 180, 13)"
15,135,0,14.530179699248118,0,45.0,"(15, 180, 0)"
15,135,1,13.062057396449699,0,45.0,"(15, 180, 1)"
15,135,2,11.414744390243893,0,45.0,"(15, 180, 2)"
15,135,3,9.491283549783537,0,45.0,"(15, 180, 3)"
15,135,4,7.853402884615371,0,45.0,"(15, 180, 4)"
15,135,5,6.350654912280688,0,45.0,"(15, 180, 5)"
15,135,6,5.199778980891708,0,45.0,"(15, 180, 6)"
15,135,7,4.267841473988435,0,45.0,"(15, 180, 7)"
15,135,8,3.761870291777186,0,45.0,"(15, 180, 8)"
15,135,9,3.4418213541666662,0,45.0,"(15, 180, 9)"
15,135,10,3.3712773437499988,0,45.0,"(15, 180, 10)"
15,135,11,3.1244732044198935,0,45.0,"(15, 180, 11)"
15,135,12,3.0503245454545524,0,45.0,"(15, 180, 12)"
15,135,13,3.030106227758011,0,45.0,"(15, 180, 13)"
15,150,0,15.36415277777777,0,30.0,"(15, 180, 0)"
15,150,1,13.610607638888887,0,30.0,"(15, 180, 1)"
15,150,2,11.535683431952656,0,30.0,"(15, 180, 2)"
15,150,3,9.653608163265298,0,30.0,"(15, 180, 3)"
15,150,4,7.363025714285701,0,30.0,"(15, 180, 4)"
15,150,5,5.6826860515021425,0,30.0,"(15, 180, 5)"
15,150,6,4.140083466135467,0,30.0,"(15, 180, 6)"
15,150,7,3.544954753521136,0,30.0,"(15, 180, 7)"
15,150,8,2.891652076677326,0,30.0,"(15, 180, 8)"
15,150,9,2.8685708933717677,0,30.0,"(15, 180, 9)"
15,150,10,2.5689484330484413,0,30.0,"(15, 180, 10)"
15,150,11,2.581623809523816,0,30.0,"(15, 180, 11)"
15,150,12,2.4226453333333353,0,30.0,"(15, 180, 12)"
15,150,13,2.4700294,0,30.0,"(15, 180, 13)"
15,165,0,17.54960439560439,0,15.0,"(15, 180, 0)"
15,165,1,15.025717647058812,0,15.0,"(15, 180, 1)"
15,165,2,12.22841142857142,0,15.0,"(15, 180, 2)"
15,165,3,8.949032236842097,0,15.0,"(15, 180, 3)"
15,165,4,6.201186335403731,0,15.0,"(15, 180, 4)"
15,165,5,4.293130813953497,0,15.0,"(15, 180, 5)"
15,165,6,3.2363457894736913,0,15.0,"(15, 180, 6)"
15,165,7,2.615763443396234,0,15.0,"(15, 180, 7)"
15,165,8,2.165341493775938,0,15.0,"(15, 180, 8)"
15,165,9,1.7696007434944254,0,15.0,"(15, 180, 9)"
15,165,10,1.5471563333333307,0,15.0,"(15, 180, 10)"
15,165,11,1.8010291803278662,0,15.0,"(15, 180, 11)"
15,165,12,2.0477153846153824,0,15.0,"(15, 180, 12)"
15,165,13,2.2103406818181752,0,15.0,"(15, 180, 13)"
15,180,0,20.5577,1,0.0,"(15, 180, 0)"
15,180,1,18.7972,1,0.0,"(15, 180, 1)"
15,180,2,14.4674,1,0.0,"(15, 180, 2)"
15,180,3,5.9476,1,0.0,"(15, 180, 3)"
15,180,4,2.7237,1,0.0,"(15, 180, 4)"
15,180,5,2.8808,1,0.0,"(15, 180, 5)"
15,180,6,2.8808,1,0.0,"(15, 180, 6)"
15,180,7,2.8808,1,0.0,"(15, 180, 7)"
15,180,8,0.7051,1,0.0,"(15, 180, 8)"
15,180,9,0.7051,1,0.0,"(15, 180, 9)"
15,180,10,0.7051,1,0.0,"(15, 180, 10)"
15,180,11,2.0148,1,0.0,"(15, 180, 11)"
15,180,12,2.0148,1,0.0,"(15, 180, 12)"
15,180,13,2.0148,1,0.0,"(15, 180, 13)"
30,60,0,13.490209448818902,0,105.0,"(135, 60, 0)"
30,60,1,12.396438216560513,0,105.0,"(135, 60, 1)"
30,60,2,11.38451744791667,0,105.0,"(135, 60, 2)"
30,60,3,10.145791402714934,0,105.00476179678711,"(135, 60, 2)"
30,60,4,9.308456896551725,0,105.01904589168576,"(135, 60, 2)"
30,60,5,8.269276689189185,0,105.04284840006957,"(135, 60, 2)"
30,60,6,7.493697846153839,0,105.07616285342742,"(135, 60, 2)"
30,60,7,6.830135714285706,0,105.11898020814318,"(135, 60, 2)"
30,60,8,6.27120361271676,0,105.17128885774862,"(135, 60, 2)"
30,60,9,5.4862928134556554,0,105.23307464861035,"(135, 60, 2)"
30,60,10,5.817359939759032,0,105.30432089900205,"(135, 60, 2)"
30,60,11,5.419704707792206,0,105.38500842150178,"(135, 60, 2)"
30,60,12,5.176383568904592,0,105.47511554864494,"(135, 60, 2)"
30,60,13,4.995658070866142,0,105.57461816175325,"(135, 60, 2)"
30,75,0,13.356914084507046,0,106.06601717798213,"(15, 180, 0)"
30,75,1,12.26594469273743,0,106.06601717798213,"(15, 180, 1)"
30,75,2,11.152030281690136,0,106.06601717798213,"(15, 180, 2)"
30,75,3,10.238544573643411,0,106.06601717798213,"(15, 180, 3)"
30,75,4,9.11798214285714,0,106.06601717798213,"(15, 180, 4)"
30,75,5,8.190310324483773,0,106.06601717798213,"(15, 180, 5)"
30,75,6,7.291213575268809,0,106.06601717798213,"(15, 180, 6)"
30,75,7,6.702294670050753,0,106.06601717798213,"(15, 180, 7)"
30,75,8,6.064678787878777,0,106.06601717798213,"(15, 180, 8)"
30,75,9,5.894135588972422,0,106.06601717798213,"(15, 180, 9)"
30,75,10,5.499644736842098,0,106.06601717798213,"(15, 180, 10)"
30,75,11,5.307091316526607,0,106.06601717798213,"(15, 180, 11)"
30,75,12,5.077195999999999,0,106.06601717798213,"(15, 180, 12)"
30,75,13,4.868202413793102,0,106.06601717798213,"(15, 180, 13)"
30,90,0,13.571559375000001,0,91.2414379544733,"(15, 180, 0)"
30,90,1,12.339396464646459,0,91.2414379544733,"(15, 180, 1)"
30,90,2,11.325127551020405,0,91.2414379544733,"(15, 180, 2)"
30,90,3,10.06200427046263,0,91.2414379544733,"(15, 180, 3)"
30,90,4,9.038143730886846,0,91.2414379544733,"(15, 180, 4)"
30,90,5,7.911316576819402,0,91.2414379544733,"(15, 180, 5)"
30,90,6,7.111657692307687,0,91.2414379544733,"(15, 180, 6)"
30,90,7,6.317625287356313,0,91.2414379544733,"(15, 180, 7)"
30,90,8,5.884303363228691,0,91.2414379544733,"(15, 180, 8)"
30,90,9,5.427257762557067,0,91.2414379544733,"(15, 180, 9)"
30,90,10,5.246686556603765,0,91.2414379544733,"(15, 180, 10)"
30,90,11,5.020107788944716,0,91.2414379544733,"(15, 180, 11)"
30,90,12,4.8630903846153775,0,91.2414379544733,"(15, 180, 12)"
30,90,13,4.652311490683227,0,91.2414379544733,"(15, 180, 13)"
30,105,0,13.662826470588229,0,76.48529270389177,"(15, 180, 0)"
30,105,1,12.524939351851843,0,76.48529270389177,"(15, 180, 1)"
30,105,2,11.206851361867695,0,76.48529270389177,"(15, 180, 2)"
30,105,3,10.06458098360655,0,76.48529270389177,"(15, 180, 3)"
30,105,4,8.739390544412602,0,76.48529270389177,"(15, 180, 4)"
30,105,5,7.681008808932996,0,76.48529270389177,"(15, 180, 5)"
30,105,6,6.669073883928566,0,76.48529270389177,"(15, 180, 6)"
30,105,7,6.020687002096427,0,76.48529270389177,"(15, 180, 7)"
30,105,8,5.491673921971238,0,76.48529270389177,"(15, 180, 8)"
30,105,9,5.245898562628327,0,76.48529270389177,"(15, 180, 9)"
30,105,10,4.97779658848613,0,76.48529270389177,"(15, 180, 10)"
30,105,11,4.732958219178073,0,76.48529270389177,"(15, 180, 11)"
30,105,12,4.557960651629066,0,76.48529270389177,"(15, 180, 12)"
30,105,13,4.3735259259259225,0,76.48529270389177,"(15, 180, 13)"
30,120,0,13.99967277777777,0,61.84658438426491,"(15, 180, 0)"
30,120,1,12.628659999999988,0,61.84658438426491,"(15, 180, 1)"
30,120,2,11.352934057971002,0,61.84658438426491,"(15, 180, 2)"
30,120,3,9.868371943573655,0,61.84658438426491,"(15, 180, 3)"
30,120,4,8.580767567567559,0,61.84658438426491,"(15, 180, 4)"
30,120,5,7.19645084541062,0,61.84658438426491,"(15, 180, 5)"
30,120,6,6.230535181236666,0,61.84658438426491,"(15, 180, 6)"
30,120,7,5.446868639053245,0,61.84658438426491,"(15, 180, 7)"
30,120,8,5.013105703422039,0,61.84658438426491,"(15, 180, 8)"
30,120,9,4.675044190476175,0,61.84658438426491,"(15, 180, 9)"
30,120,10,4.528785461689574,0,61.84658438426491,"(15, 180, 10)"
30,120,11,4.366153459119484,0,61.84658438426491,"(15, 180, 11)"
30,120,12,4.159424186046503,0,61.84658438426491,"(15, 180, 12)"
30,120,13,4.024192857142852,0,61.84658438426491,"(15, 180, 13)"
30,135,0,14.368514130434766,0,47.43416490252569,"(15, 180, 0)"
30,135,1,12.976315546218471,0,47.43416490252569,"(15, 180, 1)"
30,135,2,11.392943508771912,0,47.43416490252569,"(15, 180, 2)"
30,135,3,9.865574107142839,0,47.43416490252569,"(15, 180, 3)"
30,135,4,8.151488196286458,0,47.43416490252569,"(15, 180, 4)"
30,135,5,6.724634345794383,0,47.43416490252569,"(15, 180, 5)"
30,135,6,5.491151797040158,0,47.43416490252569,"(15, 180, 6)"
30,135,7,4.9111627599243715,0,47.43416490252569,"(15, 180, 7)"
30,135,8,4.446422302158258,0,47.43416490252569,"(15, 180, 8)"
30,135,9,4.297269858156012,0,47.43416490252569,"(15, 180, 9)"
30,135,10,4.072592110091725,0,47.43416490252569,"(15, 180, 10)"
30,135,11,3.912157199211031,0,47.43416490252569,"(15, 180, 11)"
30,135,12,3.8214938730853287,0,47.43416490252569,"(15, 180, 12)"
30,135,13,3.6661951776649695,0,47.43416490252569,"(15, 180, 13)"
30,150,0,15.04384886363635,0,33.54101966249684,"(15, 180, 0)"
30,150,1,13.180459292035382,0,33.54101966249684,"(15, 180, 1)"
30,150,2,11.571121299638968,0,33.54101966249684,"(15, 180, 2)"
30,150,3,9.832223291925445,0,33.54101966249684,"(15, 180, 3)"
30,150,4,7.925193131868112,0,33.54101966249684,"(15, 180, 4)"
30,150,5,6.002813979848851,0,33.54101966249684,"(15, 180, 5)"
30,150,6,4.818320449438184,0,33.54101966249684,"(15, 180, 6)"
30,150,7,4.1414631048386905,0,33.54101966249684,"(15, 180, 7)"
30,150,8,3.866755719557181,0,33.54101966249684,"(15, 180, 8)"
30,150,9,3.8235065255731735,0,33.54101966249684,"(15, 180, 9)"
30,150,10,3.6097315693430527,0,33.54101966249684,"(15, 180, 10)"
30,150,11,3.4531118110236125,0,33.54101966249684,"(15, 180, 11)"
30,150,12,3.2757962222222172,0,33.54101966249684,"(15, 180, 12)"
30,150,13,3.387388946015422,0,33.54101966249684,"(15, 180, 13)"
30,165,0,16.022503496503482,0,21.213203435596427,"(15, 180, 0)"
30,165,1,13.63936324324323,0,21.213203435596427,"(15, 180, 1)"
30,165,2,11.4550518181818,0,21.213203435596427,"(15, 180, 2)"
30,165,3,9.99222749999998,0,21.213203435596427,"(15, 180, 3)"
30,165,4,7.206107382550319,0,21.213203435596427,"(15, 180, 4)"
30,165,5,5.294561561561549,0,21.213203435596427,"(15, 180, 5)"
30,165,6,3.9062931318681287,0,21.213203435596427,"(15, 180, 6)"
30,165,7,3.529932289156622,0,21.213203435596427,"(15, 180, 7)"
30,165,8,3.1270098039215655,0,21.213203435596427,"(15, 180, 8)"
30,165,9,3.2496955165691936,0,21.213203435596427,"(15, 180, 9)"
30,165,10,3.135989514563099,0,21.213203435596427,"(15, 180, 10)"
30,165,11,2.6338770562770586,0,21.213203435596427,"(15, 180, 11)"
30,165,12,2.992773396674585,0,21.213203435596427,"(15, 180, 12)"
30,165,13,3.003672443181822,0,21.213203435596427,"(15, 180, 13)"
30,180,0,17.587722826086946,0,15.0,"(15, 180, 0)"
30,180,1,15.020616666666658,0,15.0,"(15, 180, 1)"
30,180,2,12.311818620689644,0,15.0,"(15, 180, 2)"
30,180,3,9.0472305732484,0,15.0,"(15, 180, 3)"
30,180,4,6.389343859649127,0,15.0,"(15, 180, 4)"
30,180,5,4.562995721925142,0,15.0,"(15, 180, 5)"
30,180,6,3.6891894859813164,0,15.0,"(15, 180, 6)"
30,180,7,3.1256512195122035,0,15.0,"(15, 180, 7)"
30,180,8,2.69651824561404,0,15.0,"(15, 180, 8)"
30,180,9,2.4954636363636404,0,15.0,"(15, 180, 9)"
30,180,10,2.3780401685393286,0,15.0,"(15, 180, 10)"
30,180,11,2.549174504249295,0,15.0,"(15, 180, 11)"
30,180,12,2.7416733333333365,0,15.0,"(15, 180, 12)"
30,180,13,3.0082961685823766,0,15.0,"(15, 180, 13)"
45,60,0,13.635938759689928,0,90.0,"(135, 60, 0)"
45,60,1,12.623765662650607,0,90.0,"(135, 60, 1)"
45,60,2,11.379767801047121,0,90.0,"(135, 60, 2)"
45,60,3,10.828795882352944,0,90.00555538409837,"(135, 60, 2)"
45,60,4,9.609364965986396,0,90.0222194794152,"(135, 60, 2)"
45,60,5,8.952146275071632,0,90.0499861188218,"(135, 60, 2)"
45,60,6,7.921462600536186,0,90.08884503644167,"(135, 60, 2)"
45,60,7,7.440251767676762,0,90.13878188659973,"(135, 60, 2)"
45,60,8,6.744183887468022,0,90.19977827023745,"(135, 60, 2)"
45,60,9,6.6939362720402915,0,90.27181176868004,"(135, 60, 2)"
45,60,10,6.34380079155672,0,90.35485598461214,"(135, 60, 2)"
45,60,11,6.1746537604456755,0,90.44888059008801,"(135, 60, 2)"
45,60,12,5.895388787878784,0,90.55385138137417,"(135, 60, 2)"
45,60,13,5.762102356902352,0,90.6697303403953,"(135, 60, 2)"
45,75,0,13.856816564417182,0,91.2414379544733,"(135, 60, 0)"
45,75,1,12.735997029702968,0,91.2414379544733,"(135, 60, 1)"
45,75,2,11.692273122529645,0,91.2414379544733,"(135, 60, 2)"
45,75,3,10.497281893687708,0,91.24691775616314,"(135, 60, 2)"
45,75,4,9.553447353760447,0,91.2633551870629,"(135, 60, 2)"
45,75,5,8.613908373786405,0,91.29074432821763,"(135, 60, 2)"
45,75,6,7.852719555555552,0,91.32907532653553,"(135, 60, 2)"
45,75,7,7.200875053304897,0,91.37833441248533,"(135, 60, 2)"
45,75,8,6.800438445378142,0,91.43850392476902,"(135, 60, 2)"
45,75,9,6.477174840085276,0,91.50956234186677,"(135, 60, 2)"
45,75,10,6.249120088300207,0,91.59148432032315,"(135, 60, 2)"
45,75,11,6.003606619385328,0,91.68424073961675,"(135, 60, 2)"
45,75,12,5.8045365979381325,0,91.7877987534291,"(135, 60, 2)"
45,75,13,5.615624207492786,0,91.90212184710427,"(135, 60, 2)"
45,90,0,13.868676571428571,0,94.86832980505137,"(15, 180, 0)"
45,90,1,12.816221145374445,0,94.86832980505137,"(15, 180, 1)"
45,90,2,11.534686213235288,0,94.86832980505137,"(15, 180, 2)"
45,90,3,10.550973880597013,0,94.86832980505137,"(15, 180, 3)"
45,90,4,9.278810492227977,0,94.86832980505137,"(15, 180, 4)"
45,90,5,8.491339999999997,0,94.86832980505137,"(15, 180, 5)"
45,90,6,7.577358669354834,0,94.86832980505137,"(15, 180, 6)"
45,90,7,7.086055113636357,0,94.86832980505137,"(15, 180, 7)"
45,90,8,6.5150037878787765,0,94.86832980505137,"(15, 180, 8)"
45,90,9,6.313461787072231,0,94.86832980505137,"(15, 180, 9)"
45,90,10,6.031602380952365,0,94.86832980505137,"(15, 180, 10)"
45,90,11,5.862586315789458,0,94.86832980505137,"(15, 180, 11)"
45,90,12,5.640207390300216,0,94.86832980505137,"(15, 180, 12)"
45,90,13,5.464715844155833,0,94.86832980505137,"(15, 180, 13)"
45,105,0,14.02944976076554,0,80.77747210701756,"(15, 180, 0)"
45,105,1,12.847396946564874,0,80.77747210701756,"(15, 180, 1)"
45,105,2,11.601284722222212,0,80.77747210701756,"(15, 180, 2)"
45,105,3,10.243949342105257,0,80.77747210701756,"(15, 180, 3)"
45,105,4,9.111056070640174,0,80.77747210701756,"(15, 180, 4)"
45,105,5,7.866004715127698,0,80.77747210701756,"(15, 180, 5)"
45,105,6,7.27443373702422,0,80.77747210701756,"(15, 180, 6)"
45,105,7,6.630759302325572,0,80.77747210701756,"(15, 180, 7)"
45,105,8,6.222790196078419,0,80.77747210701756,"(15, 180, 8)"
45,105,9,5.910288039867095,0,80.77747210701756,"(15, 180, 9)"
45,105,10,5.697997048611096,0,80.77747210701756,"(15, 180, 10)"
45,105,11,5.424377067669154,0,80.77747210701756,"(15, 180, 11)"
45,105,12,5.34790553278687,0,80.77747210701756,"(15, 180, 12)"
45,105,13,5.188628009259246,0,80.77747210701756,"(15, 180, 13)"
45,120,0,14.170147887323932,0,67.08203932499369,"(15, 180, 0)"
45,120,1,12.996008571428558,0,67.08203932499369,"(15, 180, 1)"
45,120,2,11.562301190476177,0,67.08203932499369,"(15, 180, 2)"
45,120,3,10.37699623786407,0,67.08203932499369,"(15, 180, 3)"
45,120,4,8.873967940552014,0,67.08203932499369,"(15, 180, 4)"
45,120,5,7.89786286231884,0,67.08203932499369,"(15, 180, 5)"
45,120,6,6.775070519262974,0,67.08203932499369,"(15, 180, 6)"
45,120,7,6.256814843749994,0,67.08203932499369,"(15, 180, 7)"
45,120,8,5.773925077399365,0,67.08203932499369,"(15, 180, 8)"
45,120,9,5.6252691705790125,0,67.08203932499369,"(15, 180, 9)"
45,120,10,5.399454290429026,0,67.08203932499369,"(15, 180, 10)"
45,120,11,5.299592932862173,0,67.08203932499369,"(15, 180, 11)"
45,120,12,5.033258153241634,0,67.08203932499369,"(15, 180, 12)"
45,120,13,4.976396674057634,0,67.08203932499369,"(15, 180, 13)"
45,135,0,14.22111515151514,0,54.08326913195984,"(15, 180, 0)"
45,135,1,12.83444965753423,0,54.08326913195984,"(15, 180, 1)"
45,135,2,11.574988333333314,0,54.08326913195984,"(15, 180, 2)"
45,135,3,10.12864095127609,0,54.08326913195984,"(15, 180, 3)"
45,135,4,8.878588735177862,0,54.08326913195984,"(15, 180, 4)"
