Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
10,50,0,,0,130.0,"(140, 50, 0)"
10,50,1,,0,130.0,"(140, 50, 1)"
10,50,2,,0,130.0,"(140, 50, 2)"
10,50,3,,0,130.00384609695206,"(140, 50, 2)"
10,50,4,,0,130.01538370516005,"(140, 50, 2)"
10,50,5,,0,130.034610777285,"(140, 50, 2)"
10,50,6,,0,130.06152390311286,"(140, 50, 2)"
10,50,7,,0,130.09611831257686,"(140, 50, 2)"
10,50,8,,0,130.13838787997952,"(140, 50, 2)"
10,50,9,,0,130.18832512940628,"(140, 50, 2)"
10,50,10,,0,130.24592124131948,"(140, 50, 2)"
10,50,11,,0,130.31116606031887,"(140, 50, 2)"
10,50,12,,0,130.38404810405297,"(140, 50, 2)"
10,50,13,,0,130.4645545732633,"(140, 50, 2)"
10,60,0,,0,130.0,"(10, 190, 0)"
10,60,1,,0,130.0,"(10, 190, 1)"
10,60,2,,0,130.0,"(10, 190, 2)"
10,60,3,,0,130.0,"(10, 190, 3)"
10,60,4,,0,130.0,"(10, 190, 4)"
10,60,5,,0,130.0,"(10, 190, 5)"
10,60,6,,0,130.0,"(10, 190, 6)"
10,60,7,,0,130.0,"(10, 190, 7)"
10,60,8,,0,130.0,"(10, 190, 8)"
10,60,9,,0,130.0,"(10, 190, 9)"
10,60,10,,0,130.0,"(10, 190, 10)"
10,60,11,,0,130.0,"(10, 190, 11)"
10,60,12,,0,130.0,"(10, 190, 12)"
10,60,13,,0,130.0,"(10, 190, 13)"
10,70,0,,0,120.0,"(10, 190, 0)"
10,70,1,,0,120.0,"(10, 190, 1)"
10,70,2,,0,120.0,"(10, 190, 2)"
10,70,3,,0,120.0,"(10, 190, 3)"
10,70,4,,0,120.0,"(10, 190, 4)"
10,70,5,,0,120.0,"(10, 190, 5)"
10,70,6,,0,120.0,"(10, 190, 6)"
10,70,7,,0,120.0,"(10, 190, 7)"
10,70,8,,0,120.0,"(10, 190, 8)"
10,70,9,,0,120.0,"(10, 190, 9)"
10,70,10,,0,120.0,"(10, 190, 10)"
10,70,11,,0,120.0,"(10, 190, 11)"
10,70,12,,0,120.0,"(10, 190, 12)"
10,70,13,,0,120.0,"(10, 190, 13)"
10,80,0,,0,110.0,"(10, 190, 0)"
10,80,1,,0,110.0,"(10, 190, 1)"
10,80,2,,0,110.0,"(10, 190, 2)"
10,80,3,,0,110.0,"(10, 190, 3)"
