X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,0,0,0.1811424731182797,14.07616579301064,0.5823553549446039,0.004267542059909724,0.000492408699220353,0.010915059499384486,0.0,,,,,,,,,0,20.0,"(20, 0, 0)"
0,0,1,0.17197775030902157,13.811149258343482,0.5823553549446036,0.0042675420599097265,0.0004924086992203531,0.010915059499384485,0.0,,,,,,,,,0,20.0,"(20, 0, 1)"
0,0,2,0.16433638443935672,13.613059210526128,0.5823553549446033,0.004267542059909717,0.0004924086992203533,0.010915059499384514,0.0,,,,,,,,,0,20.0,"(20, 0, 2)"
0,0,3,0.16082608695651904,13.464847445651964,0.55374587342357,0.004277478268539511,0.0004993082145549222,0.010508093288781913,3.753100006318548e-06,,,,,,,,,0,20.024984394500787,"(20, 0, 2)"
0,0,4,0.15322614107883528,13.274654304979022,0.538200325604252,0.00424622057702123,0.000504038238303718,0.010316301449262308,5.9192378434360925e-06,,,,,,,,,0,20.09975124224178,"(20, 0, 2)"
0,0,5,0.1413414634146329,13.108095985772117,0.5198979746868022,0.004138224726783106,0.0004957088586380038,0.010010227176370576,7.3106510079523395e-06,,,,,,,,,0,20.223748416156685,"(20, 0, 2)"
0,0,6,0.12834990059642332,12.95670571570552,0.49061740659303954,0.00408951261887695,0.0004980530751707904,0.009585180322206906,1.1898676002329775e-05,,,,,,,,,0,20.396078054371138,"(20, 0, 2)"
0,0,7,0.12051638530288328,12.831841956305615,0.4670951305612067,0.004030475855689089,0.0004955696665619785,0.009217509776683765,1.4773826308265605e-05,,,,,,,,,0,20.615528128088304,"(20, 0, 2)"
0,0,8,0.11161838161838503,12.74135829170805,0.4486377972119994,0.003975554557284905,0.0004948755060281257,0.008944817527557878,1.711698803572036e-05,,,,,,,,,0,20.8806130178211,"(20, 0, 2)"
0,0,9,0.1014504596527095,12.585746118488034,0.4352225695783892,0.003950146508631419,0.0004973685902145777,0.008764707607925472,1.8747699127925974e-05,,,,,,,,,0,21.18962010041709,"(20, 0, 2)"
0,0,10,0.08784437434279997,12.447344637223782,0.42405560874163123,0.003948963151564836,0.0005036142040417984,0.008639159701186679,2.1002850403459525e-05,,,,,,,,,0,21.540659228538015,"(20, 0, 2)"
0,0,11,0.07385887541345194,12.330981753031809,0.4172158911592701,0.003952361195848874,0.0005072198416680809,0.008558306906593182,2.2037547571827032e-05,,,,,,,,,0,21.93171219946131,"(20, 0, 2)"
0,0,12,0.06267211201866867,12.258226662777002,0.40711863303019924,0.003934918676501393,0.000509447559337681,0.008424725863561803,2.3417841558273788e-05,,,,,,,,,0,22.360679774997898,"(20, 0, 2)"
0,0,13,0.052714646464645694,12.163919507575674,0.40692096906470765,0.00389881202128123,0.0005071574760406079,0.008422948091450052,2.241185781758461e-05,,,,,,,,,0,22.825424421026653,"(20, 0, 2)"
0,10,0,0.18168781725888117,13.779776586294291,0.5355400686059049,0.00402071383504284,0.00046414871941188456,0.010057713563885002,0.0,,,,,,,,,0,22.360679774997898,"(20, 0, 0)"
